,workerid,education,age,language,gender,n_fails,condition,total_rt,delayBlue,delayPink,goal,goal_bot,goal_dummy,goal_dummy_bot,intention,intention_bot,knowledge,knowledge_bot,goal_rt,goal_bot_rt,goal_dummy_rt,goal_dummy_bot_rt,intention_rt,intention_bot_rt,knowledge_rt,knowledge_bot_rt,cause_rt,delay_rt,attention_rt,order,attention,cause_blue,cause_pink,cause_orange,cause_both,cause_bothOrange,cause_pb,cause_bp,cause_ob,cause_blue_norm,cause_pink_norm,cause_orange_norm,cause_both_norm,cause_bothOrange_norm,cause_bp_norm,cause_pb_norm,cause_ob_norm,min,flat,max
11,10,3,45,english,Female,0,condition 3,5.16885,8,3,7,2,1,7,6,2,5,2,2.24,6.477,3.376,3.608,2.4,4.127,4.248,4.128,23.23,13.071,10.728,"[1, 'Was the vacuum-bot aiming to open the door?'] [2, 'What is the likelihood that the vacuum-bot had the intention to open the door?'] [3, 'How likely is it that Brock knew how to open the door?'] [4, 'Was Brock aiming to clean the room?'] [5, 'How likely is it that Brock intentionally opened the door?'] [6, 'Was Brock aiming to open the door?'] [7, 'How likely is it that the vacuum-bot knew how to open the door?'] [8, 'Was the vacuum-bot aiming to clean the room?']",3,4,4,1,6,1,1,6,1,0.1875,0.1875,0,0.3125,0,0.3125,0,0,1,FALSE,2.666666667
12,11,4,36,english,Female,0,condition 2,4.597133333,5,5,7,NA,1,NA,7,NA,3,NA,3.964,NA,3.411,NA,16.789,NA,6.012,NA,42.824,9.195,38.299,"[1, 'How likely is it that Brock-bot intentionally opened the door?'] [2, 'How likely is it that Brock-bot knew how to open the door?'] [3, 'Was Brock-bot aiming to open the door?'] [4, 'Was Brock-bot aiming to clean the room?']",1,2,2,1,7,1,2,7,1,0.071428571,0.071428571,0,0.428571429,0,0.428571429,0.166666667,0,1,FALSE,2.333333333
13,12,3,23,english,Female,0,condition 1,5.13135,5,5,7,NA,1,NA,7,NA,7,NA,7.261,NA,2.66,NA,3.014,NA,2.596,NA,17.828,10.839,10.416,"[1, 'Was Brock aiming to open the door?'] [2, 'Was Brock aiming to clean the room?'] [3, 'How likely is it that Brock intentionally opened the door?'] [4, 'How likely is it that Brock knew how to open the door?']",3,1,1,1,7,1,1,7,1,0,0,0,0.5,0,0.5,0,0,1,FALSE,2
14,13,3,25,ENGLISH,Male,0,condition 3,5.414983333,3,5,4,6,5,5,6,3,6,5,1.563,3.274,2.831,6.801,1.956,4.283,79.632,2.932,19.755,18.318,21.084,"[1, 'Was the vacuum-bot aiming to clean the room?'] [2, 'How likely is it that Brock knew how to open the door?'] [3, 'Was Brock aiming to clean the room?'] [4, 'Was Brock aiming to open the door?'] [5, 'How likely is it that Brock intentionally opened the door?'] [6, 'What is the likelihood that the vacuum-bot had the intention to open the door?'] [7, 'How likely is it that the vacuum-bot knew how to open the door?'] [8, 'Was the vacuum-bot aiming to open the door?']",1,5,4,4,5,5,5,4,3,0.333333333,0.166666667,0.25,0.333333333,0.5,0.166666667,0.5,0,3,FALSE,1.5
15,14,2,25,english,Male,0,condition 1,3.906266667,17,10,7,NA,2,NA,7,NA,5,NA,7.117,NA,10.542,NA,4.235,NA,6.129,NA,29.603,21.429,27.893,"[1, 'Was Brock aiming to clean the room?'] [2, 'Was Brock aiming to open the door?'] [3, 'How likely is it that Brock knew how to open the door?'] [4, 'How likely is it that Brock intentionally opened the door?']",2,2,2,1,6,1,1,7,1,0.076923077,0.076923077,0,0.384615385,0,0.461538462,0,0,1,FALSE,2.166666667
16,15,2,41,English,Female,0,condition 2,5.449666667,60,5,6,NA,2,NA,7,NA,7,NA,6.775,NA,4.612,NA,9.103,NA,3.376,NA,37.416,35.061,14.342,"[1, 'How likely is it that Brock-bot intentionally opened the door?'] [2, 'How likely is it that Brock-bot knew how to open the door?'] [3, 'Was Brock-bot aiming to open the door?'] [4, 'Was Brock-bot aiming to clean the room?']",2,1,1,1,7,1,1,7,1,0,0,0,0.5,0,0.5,0,0,1,FALSE,2
17,16,3,29,English,Female,0,condition 3,5.387733333,10,5,4,3,5,6,4,5,5,5,1.712,1.631,2.533,1.776,2.55,4.871,7.71,1.689,29.996,104.692,3.316,"[1, 'How likely is it that Brock knew how to open the door?'] [2, 'How likely is it that Brock intentionally opened the door?'] [3, 'What is the likelihood that the vacuum-bot had the intention to open the door?'] [4, 'Was Brock aiming to clean the room?'] [5, 'Was Brock aiming to open the door?'] [6, 'Was the vacuum-bot aiming to open the door?'] [7, 'How likely is it that the vacuum-bot knew how to open the door?'] [8, 'Was the vacuum-bot aiming to clean the room?']",2,5,4,6,4,5,5,6,4,0.333333333,0,0.666666667,0,0.333333333,0.666666667,0.333333333,0,4,FALSE,1
18,17,3,45,English,Female,0,condition 2,5.82355,5,5,5,NA,6,NA,6,NA,6,NA,2.991,NA,2.52,NA,6.086,NA,10.974,NA,30.203,15.085,4.526,"[1, 'How likely is it that Brock-bot knew how to open the door?'] [2, 'How likely is it that Brock-bot intentionally opened the door?'] [3, 'Was Brock-bot aiming to open the door?'] [4, 'Was Brock-bot aiming to clean the room?']",1,6,5,6,4,5,6,4,5,0.666666667,0.333333333,0.666666667,0,0.333333333,0,0.666666667,0.333333333,4,FALSE,1
19,18,3,35,English,Male,0,condition 3,5.963116667,20,20,7,6,5,6,6,6,6,6,1.839,4.147,2.131,2.006,1.988,1.773,1.481,2.635,10.249,10.099,10.306,"[1, 'Was the vacuum-bot aiming to open the door?'] [2, 'How likely is it that the vacuum-bot knew how to open the door?'] [3, 'What is the likelihood that the vacuum-bot had the intention to open the door?'] [4, 'Was Brock aiming to open the door?'] [5, 'How likely is it that Brock knew how to open the door?'] [6, 'Was the vacuum-bot aiming to clean the room?'] [7, 'Was Brock aiming to clean the room?'] [8, 'How likely is it that Brock intentionally opened the door?']",3,6,5,6,5,5,5,6,5,0.5,0,0.5,0,0,0.5,0,0,5,FALSE,1
20,19,3,40,English,Male,0,condition 1,5.982616667,5,3,6,NA,1,NA,7,NA,7,NA,7.697,NA,3.404,NA,3.496,NA,4.285,NA,24.911,13.953,13.915,"[1, 'Was Brock aiming to open the door?'] [2, 'How likely is it that Brock knew how to open the door?'] [3, 'How likely is it that Brock intentionally opened the door?'] [4, 'Was Brock aiming to clean the room?']",2,2,2,1,7,3,4,7,1,0.071428571,0.071428571,0,0.428571429,0.333333333,0.428571429,0.5,0,1,FALSE,2.333333333
21,20,3,42,eng,Male,0,condition 2,5.512083333,3,3,5,NA,3,NA,3,NA,6,NA,10.192,NA,2.033,NA,3.994,NA,3.622,NA,26.907,10.827,19.143,"[1, 'Was Brock-bot aiming to open the door?'] [2, 'How likely is it that Brock-bot knew how to open the door?'] [3, 'How likely is it that Brock-bot intentionally opened the door?'] [4, 'Was Brock-bot aiming to clean the room?']",3,3,3,1,7,1,6,5,5,0.142857143,0.142857143,0,0.428571429,0,0.285714286,0.833333333,0.666666667,1,FALSE,2.333333333
22,21,2,58,English,Female,0,condition 2,5.2335,20,8,3,NA,7,NA,3,NA,5,NA,6.245,NA,4.893,NA,20.861,NA,8.494,NA,61.521,41.282,26.644,"[1, 'How likely is it that Brock-bot intentionally opened the door?'] [2, 'Was Brock-bot aiming to open the door?'] [3, 'How likely is it that Brock-bot knew how to open the door?'] [4, 'Was Brock-bot aiming to clean the room?']",3,2,4,1,6,1,1,6,1,0.071428571,0.214285714,0,0.357142857,0,0.357142857,0,0,1,FALSE,2.333333333
23,22,2,25,English,Male,1,condition 1,6.4427,2,3,3,NA,4,NA,6,NA,7,NA,3.191,NA,2.864,NA,3.208,NA,5.566,NA,17.118,38.7,78.851,"[1, 'How likely is it that Brock knew how to open the door?'] [2, 'How likely is it that Brock intentionally opened the door?'] [3, 'Was Brock aiming to clean the room?'] [4, 'Was Brock aiming to open the door?']",3,3,4,5,4,3,5,4,6,0,0.333333333,0.5,0.333333333,0,0.333333333,0.5,0.75,3,FALSE,0.75
24,23,3,29,English,Male,0,condition 2,2.6368,1,2,6,NA,3,NA,7,NA,6,NA,1.841,NA,3.81,NA,5.364,NA,2.71,NA,19.109,8.523,8.653,"[1, 'How likely is it that Brock-bot intentionally opened the door?'] [2, 'Was Brock-bot aiming to clean the room?'] [3, 'How likely is it that Brock-bot knew how to open the door?'] [4, 'Was Brock-bot aiming to open the door?']",3,1,1,1,5,1,2,3,1,0,0,0,0.666666667,0,0.333333333,0.166666667,0,1,FALSE,1
25,24,3,44,ENGLISH,Male,0,condition 2,4.394483333,2,3,6,NA,6,NA,5,NA,7,NA,5.425,NA,4.263,NA,3.809,NA,3.078,NA,40.161,10.12,35.793,"[1, 'Was Brock-bot aiming to open the door?'] [2, 'How likely is it that Brock-bot intentionally opened the door?'] [3, 'Was Brock-bot aiming to clean the room?'] [4, 'How likely is it that Brock-bot knew how to open the door?']",3,5,6,5,6,5,5,6,4,0.142857143,0.285714286,0.333333333,0.285714286,0.333333333,0.285714286,0.333333333,0,4,FALSE,2.333333333
26,25,5,37,english,Female,1,condition 2,4.485533333,4,3,7,NA,6,NA,6,NA,7,NA,2.865,NA,2.619,NA,9.841,NA,9.05,NA,8.182,14.106,8.464,"[1, 'How likely is it that Brock-bot intentionally opened the door?'] [2, 'Was Brock-bot aiming to open the door?'] [3, 'How likely is it that Brock-bot knew how to open the door?'] [4, 'Was Brock-bot aiming to clean the room?']",1,7,6,7,7,6,7,7,7,0.333333333,0,1,0.333333333,0,0.333333333,1,1,6,FALSE,3
27,26,2,34,English,Male,0,condition 1,3.602,2,2,7,NA,1,NA,7,NA,7,NA,2.002,NA,11.315,NA,2.96,NA,2.368,NA,30.027,20.127,15.022,"[1, 'Was Brock aiming to clean the room?'] [2, 'How likely is it that Brock intentionally opened the door?'] [3, 'Was Brock aiming to open the door?'] [4, 'How likely is it that Brock knew how to open the door?']",2,1,1,1,3,1,1,6,1,0,0,0,0.285714286,0,0.714285714,0,0,1,FALSE,1.166666667
28,27,3,35,English,Male,0,condition 2,6.6194,15,10,6,NA,5,NA,6,NA,6,NA,7.863,NA,1.613,NA,2.494,NA,2.359,NA,11.036,5.369,140.53,"[1, 'Was Brock-bot aiming to open the door?'] [2, 'How likely is it that Brock-bot intentionally opened the door?'] [3, 'How likely is it that Brock-bot knew how to open the door?'] [4, 'Was Brock-bot aiming to clean the room?']",3,6,5,5,6,6,5,5,6,0.5,0,0,0.5,0.5,0,0,0.5,5,FALSE,1
29,28,3,36,English,Female,0,condition 3,5.644833333,15,30,7,1,2,6,7,1,7,1,3.036,4.994,5.32,4.168,7.906,4.975,3.256,4.578,87.147,14.902,8.599,"[1, 'How likely is it that Brock intentionally opened the door?'] [2, 'How likely is it that Brock knew how to open the door?'] [3, 'Was Brock aiming to clean the room?'] [4, 'What is the likelihood that the vacuum-bot had the intention to open the door?'] [5, 'Was the vacuum-bot aiming to clean the room?'] [6, 'Was the vacuum-bot aiming to open the door?'] [7, 'Was Brock aiming to open the door?'] [8, 'How likely is it that the vacuum-bot knew how to open the door?']",2,7,1,1,4,1,1,1,1,0.666666667,0,0,0.333333333,0,0,0,0,1,FALSE,1.5
30,29,2,34,English,Male,0,condition 3,6.65035,25,10,6,5,1,2,6,5,6,5,3.273,2.408,4.921,2.425,3.06,4.201,7.081,1.839,36.775,14.734,16.293,"[1, 'How likely is it that Brock knew how to open the door?'] [2, 'Was Brock aiming to open the door?'] [3, 'What is the likelihood that the vacuum-bot had the intention to open the door?'] [4, 'How likely is it that the vacuum-bot knew how to open the door?'] [5, 'Was the vacuum-bot aiming to open the door?'] [6, 'Was Brock aiming to clean the room?'] [7, 'Was the vacuum-bot aiming to clean the room?'] [8, 'How likely is it that Brock intentionally opened the door?']",3,3,2,1,5,1,1,6,1,0.166666667,0.083333333,0,0.333333333,0,0.416666667,0,0,1,FALSE,2
31,30,3,54,English,Female,0,condition 1,6.225383333,15,5,7,NA,1,NA,7,NA,7,NA,27.539,NA,7.16,NA,4.221,NA,8.09,NA,78.664,31.396,25.902,"[1, 'Was Brock aiming to open the door?'] [2, 'How likely is it that Brock knew how to open the door?'] [3, 'How likely is it that Brock intentionally opened the door?'] [4, 'Was Brock aiming to clean the room?']",3,4,4,1,5,5,1,6,1,0.2,0.2,0,0.266666667,0.666666667,0.333333333,0,0,1,FALSE,2.5
32,31,3,64,English,Male,0,condition 3,6.50385,5,5,7,1,1,6,7,1,7,1,11.837,4.92,4.416,6.833,4.895,5.857,5.057,7.63,51.193,36.331,32.324,"[1, 'Was Brock aiming to open the door?'] [2, 'How likely is it that the vacuum-bot knew how to open the door?'] [3, 'How likely is it that Brock knew how to open the door?'] [4, 'What is the likelihood that the vacuum-bot had the intention to open the door?'] [5, 'Was Brock aiming to clean the room?'] [6, 'Was the vacuum-bot aiming to open the door?'] [7, 'Was the vacuum-bot aiming to clean the room?'] [8, 'How likely is it that Brock intentionally opened the door?']",3,7,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,FALSE,1
33,32,4,54,English,NA,0,condition 3,6.709016667,6,3,6,3,1,4,3,3,5,4,10.4,5.364,27.257,11.967,14.67,9.68,6.461,8.243,53.213,32.987,28.78,"[1, 'Was Brock aiming to clean the room?'] [2, 'Was the vacuum-bot aiming to clean the room?'] [3, 'How likely is it that the vacuum-bot knew how to open the door?'] [4, 'Was Brock aiming to open the door?'] [5, 'What is the likelihood that the vacuum-bot had the intention to open the door?'] [6, 'How likely is it that Brock knew how to open the door?'] [7, 'How likely is it that Brock intentionally opened the door?'] [8, 'Was the vacuum-bot aiming to open the door?']",2,3,3,1,5,1,3,5,1,0.166666667,0.166666667,0,0.333333333,0,0.333333333,0.333333333,0,1,FALSE,2
34,33,3,38,English,Female,0,condition 2,7.103533333,2,2,7,NA,2,NA,7,NA,7,NA,4.45,NA,3.328,NA,3.105,NA,6.199,NA,28.315,12.918,20.972,"[1, 'How likely is it that Brock-bot knew how to open the door?'] [2, 'Was Brock-bot aiming to open the door?'] [3, 'Was Brock-bot aiming to clean the room?'] [4, 'How likely is it that Brock-bot intentionally opened the door?']",3,5,4,2,7,1,5,7,1,0.210526316,0.157894737,0.166666667,0.315789474,0,0.315789474,0.666666667,0,1,FALSE,3.166666667
35,34,2,35,english,Male,0,condition 1,4.104833333,7,4,7,NA,1,NA,7,NA,6,NA,10.734,NA,4.12,NA,4.392,NA,6.256,NA,34.695,20.096,11.343,"[1, 'Was Brock aiming to open the door?'] [2, 'Was Brock aiming to clean the room?'] [3, 'How likely is it that Brock intentionally opened the door?'] [4, 'How likely is it that Brock knew how to open the door?']",3,5,5,1,6,1,1,6,1,0.222222222,0.222222222,0,0.277777778,0,0.277777778,0,0,1,FALSE,3
36,35,3,48,english,Female,0,condition 3,5.8989,5,5,7,4,5,6,5,4,7,4,5.57,5.555,13.603,4.606,8.076,12.32,5.108,5.321,62.485,19.64,13.836,"[1, 'What is the likelihood that the vacuum-bot had the intention to open the door?'] [2, 'Was Brock aiming to clean the room?'] [3, 'Was the vacuum-bot aiming to open the door?'] [4, 'Was Brock aiming to open the door?'] [5, 'How likely is it that Brock knew how to open the door?'] [6, 'Was the vacuum-bot aiming to clean the room?'] [7, 'How likely is it that Brock intentionally opened the door?'] [8, 'How likely is it that the vacuum-bot knew how to open the door?']",3,3,3,1,7,1,1,6,1,0.133333333,0.133333333,0,0.4,0,0.333333333,0,0,1,FALSE,2.5
37,36,3,31,English,Male,0,condition 3,6.8394,15,5,6,3,3,3,7,2,7,4,3.744,5.457,15.634,6.304,5.463,7.616,5.544,8.671,57.077,21.966,24.406,"[1, 'Was Brock aiming to clean the room?'] [2, 'Was the vacuum-bot aiming to open the door?'] [3, 'What is the likelihood that the vacuum-bot had the intention to open the door?'] [4, 'How likely is it that the vacuum-bot knew how to open the door?'] [5, 'Was Brock aiming to open the door?'] [6, 'How likely is it that Brock knew how to open the door?'] [7, 'How likely is it that Brock intentionally opened the door?'] [8, 'Was the vacuum-bot aiming to clean the room?']",3,5,5,1,7,1,2,7,2,0.2,0.2,0,0.3,0,0.3,0.166666667,0.166666667,1,FALSE,3.333333333
38,37,3,25,English,Female,0,condition 3,7.373116667,2,4,4,5,6,5,6,5,6,5,1.772,2.314,2.25,2.177,5.771,1.533,1.918,1.662,12.638,15.196,21.65,"[1, 'How likely is it that Brock intentionally opened the door?'] [2, 'Was the vacuum-bot aiming to clean the room?'] [3, 'Was Brock aiming to clean the room?'] [4, 'What is the likelihood that the vacuum-bot had the intention to open the door?'] [5, 'How likely is it that Brock knew how to open the door?'] [6, 'How likely is it that the vacuum-bot knew how to open the door?'] [7, 'Was Brock aiming to open the door?'] [8, 'Was the vacuum-bot aiming to open the door?']",3,5,4,4,5,5,5,6,4,0.25,0,0,0.25,0.333333333,0.5,0.333333333,0,4,FALSE,1.333333333
39,39,2,51,English,Female,0,condition 2,5.970383333,6,4,7,NA,3,NA,7,NA,7,NA,6.939,NA,7.566,NA,5.478,NA,14.614,NA,71.114,57.654,30.175,"[1, 'How likely is it that Brock-bot knew how to open the door?'] [2, 'How likely is it that Brock-bot intentionally opened the door?'] [3, 'Was Brock-bot aiming to open the door?'] [4, 'Was Brock-bot aiming to clean the room?']",2,3,3,1,6,1,1,5,1,0.153846154,0.153846154,0,0.384615385,0,0.307692308,0,0,1,FALSE,2.166666667
40,40,3,33,English,Male,0,condition 3,7.002816667,10,3,6,4,2,6,7,3,6,4,2.387,7.07,2.642,4.003,8.542,7.881,7.183,4.163,132.964,12.893,8.259,"[1, 'How likely is it that Brock intentionally opened the door?'] [2, 'How likely is it that Brock knew how to open the door?'] [3, 'What is the likelihood that the vacuum-bot had the intention to open the door?'] [4, 'Was the vacuum-bot aiming to open the door?'] [5, 'Was the vacuum-bot aiming to clean the room?'] [6, 'Was Brock aiming to clean the room?'] [7, 'How likely is it that the vacuum-bot knew how to open the door?'] [8, 'Was Brock aiming to open the door?']",3,3,4,1,6,1,2,6,1,0.133333333,0.2,0,0.333333333,0,0.333333333,0.166666667,0,1,FALSE,2.5
41,41,4,29,english,Male,1,condition 1,5.881266667,1,1,5,NA,5,NA,6,NA,6,NA,1.839,NA,1.415,NA,5.028,NA,1.896,NA,54.885,34.823,8.327,"[1, 'How likely is it that Brock intentionally opened the door?'] [2, 'Was Brock aiming to open the door?'] [3, 'Was Brock aiming to clean the room?'] [4, 'How likely is it that Brock knew how to open the door?']",3,6,5,5,6,6,6,5,5,0.5,0,0,0.5,0.5,0,0.5,0,5,FALSE,1
42,42,3,30,English,Female,0,condition 2,6.75145,10,10,7,NA,4,NA,7,NA,6,NA,6.056,NA,35.007,NA,6.996,NA,5.333,NA,56.968,25.492,25.917,"[1, 'Was Brock-bot aiming to clean the room?'] [2, 'How likely is it that Brock-bot intentionally opened the door?'] [3, 'Was Brock-bot aiming to open the door?'] [4, 'How likely is it that Brock-bot knew how to open the door?']",3,1,1,1,7,1,7,1,4,0,0,0,1,0,0,1,0.5,1,FALSE,1
43,43,3,30,English,Female,0,condition 3,6.937116667,5,10,7,1,1,1,7,7,6,2,3.598,5.657,3.541,7.26,9.205,21.326,6.385,11.227,59.386,37.428,32.988,"[1, 'What is the likelihood that the vacuum-bot had the intention to open the door?'] [2, 'How likely is it that Brock intentionally opened the door?'] [3, 'Was the vacuum-bot aiming to clean the room?'] [4, 'How likely is it that the vacuum-bot knew how to open the door?'] [5, 'Was the vacuum-bot aiming to open the door?'] [6, 'Was Brock aiming to clean the room?'] [7, 'How likely is it that Brock knew how to open the door?'] [8, 'Was Brock aiming to open the door?']",3,7,5,1,1,2,7,1,1,0.6,0.4,0,0,0.166666667,0,1,0,1,FALSE,1.666666667
44,44,3,28,ENGLISH,Male,0,condition 2,7.88165,5,5,4,NA,4,NA,5,NA,5,NA,1.474,NA,4.107,NA,2.213,NA,5.038,NA,11.231,5.384,28.782,"[1, 'How likely is it that Brock-bot knew how to open the door?'] [2, 'Was Brock-bot aiming to open the door?'] [3, 'Was Brock-bot aiming to clean the room?'] [4, 'How likely is it that Brock-bot intentionally opened the door?']",3,4,6,5,4,4,6,6,5,0,0.5,0.333333333,0,0,0.5,0.666666667,0.333333333,4,FALSE,1.333333333
45,45,3,51,English,Female,0,condition 1,7.152983333,2,2,7,NA,6,NA,6,NA,6,NA,8.086,NA,11.117,NA,4.063,NA,4.911,NA,56.855,33.353,16.637,"[1, 'Was Brock aiming to clean the room?'] [2, 'Was Brock aiming to open the door?'] [3, 'How likely is it that Brock knew how to open the door?'] [4, 'How likely is it that Brock intentionally opened the door?']",3,1,1,1,6,2,2,7,1,0,0,0,0.454545455,0.166666667,0.545454545,0.166666667,0,1,FALSE,1.833333333
46,46,3,47,English,Male,0,condition 2,6.3884,6,3,7,NA,1,NA,7,NA,6,NA,15.52,NA,6.63,NA,6.085,NA,9.877,NA,104.262,25.637,26.145,"[1, 'Was Brock-bot aiming to open the door?'] [2, 'How likely is it that Brock-bot knew how to open the door?'] [3, 'How likely is it that Brock-bot intentionally opened the door?'] [4, 'Was Brock-bot aiming to clean the room?']",3,4,4,1,4,1,1,4,1,0.25,0.25,0,0.25,0,0.25,0,0,1,FALSE,2
47,47,4,38,English,Female,0,condition 3,2.72325,8,12,5,1,1,5,4,1,6,3,1.936,2.904,3.296,1.848,4.324,2.231,2.072,2.319,17.803,12.271,5.847,"[1, 'How likely is it that Brock intentionally opened the door?'] [2, 'Was Brock aiming to clean the room?'] [3, 'Was the vacuum-bot aiming to open the door?'] [4, 'Was the vacuum-bot aiming to clean the room?'] [5, 'How likely is it that the vacuum-bot knew how to open the door?'] [6, 'Was Brock aiming to open the door?'] [7, 'How likely is it that Brock knew how to open the door?'] [8, 'What is the likelihood that the vacuum-bot had the intention to open the door?']",3,5,3,1,6,1,2,6,1,0.25,0.125,0,0.3125,0,0.3125,0.166666667,0,1,FALSE,2.666666667
